
  Date	        Time      VIVO IPL 2018 Fixtures             Stadium & Venues
 08-May-2018	8:00pm	         SH vs MI    	Rajiv Gandhi International Stadium, Hyderabad
 09-May-2018	8:00pm	        KXIPvs KKR	    Punjab Cricket Association Stadium, Mohali
 10-May-2018	8:00pm	         RR vs DD	    Sawai Man Singh Stadium, Jaipur, Rajasthan
 11-May-2018	8:00pm	         MI vs KXIP	    Wankhede Stadium, Mumbai, Maharashtra
 12-May-2018	8:00pm	         DD vs CSK      Feroz Shah Kotla Stadium, Delhi
 13-May-2018	4:00pm	         RR vs SH	    Sawai Man Singh Stadium, Jaipur, Rajasthan
 13-May-2018	8:00pm	        KKR vs MI   	Eden Garden Stadium, Kolkata, West Bengal
 14-May-2018	4:00pm	        CSK vs KXIP  	M.A.Chidambaram Stadium Chennai, Tamil Nadu
 14-May-2018	8:00pm	         DD vs RCB  	Feroz Shah Kotla Stadium, Delhi
 16-May-2018	8:00pm	  TBCVsTBC, Qualifier1	M.A.Chidambaram Stadium Chennai, Tamil Nadu
 17-May-2018	8:00pm	  TBCVsTBC, Eliminator	Eden Garden Stadium Kolkata, West Bengal
 19-May-2018	8:00pm	  TBCVsTBC, Qualifier 2	Wankhede Stadium, Mumbai, Maharashtra
 21-May-2018	8:00pm	    TBC Vs TBC, Final   M.Chinnaswamy Stadium, Bengaluru, Karnataka
